species,genus,family
Gentianella sandiana,Gentianella,Gentianaceae
Vincetoxicum crassifolium,Vincetoxicum,Apocynaceae
Vincetoxicum glaucum,Vincetoxicum,Apocynaceae
Zeltnera wigginsii,Zeltnera,Gentianaceae
Vincetoxicum flexuosum,Vincetoxicum,Apocynaceae
Zeltnera arizonica,Zeltnera,Gentianaceae
Orbea lugardii,Orbea,Apocynaceae
Voacanga lanceolata,Voacanga,Apocynaceae
Pyrostria antsalovensis,Pyrostria,Rubiaceae
Mesechites trifidus,Mesechites,Apocynaceae
Pyrostria bispathacea,Pyrostria,Rubiaceae
Sabicea umbellata,Sabicea,Rubiaceae
Oldenlandia densa,Oldenlandia,Rubiaceae
Ophiorrhiza chuniana,Ophiorrhiza,Rubiaceae
Ophiorrhiza hayatana,Ophiorrhiza,Rubiaceae
Xysmalobium sessile,Xysmalobium,Apocynaceae
Pyrostria socotrana,Pyrostria,Rubiaceae
Pyrostria richardiae,Pyrostria,Rubiaceae
Ophiorrhiza repens,Ophiorrhiza,Rubiaceae
Arachnothryx skutchii,Arachnothryx,Rubiaceae
Chassalia violascens,Chassalia,Rubiaceae
Chassalia nannochlamys,Chassalia,Rubiaceae
Arachnothryx mexicana,Arachnothryx,Rubiaceae
Arachnothryx perezii,Arachnothryx,Rubiaceae
Chassalia cristata,Chassalia,Rubiaceae
Chassalia capitata,Chassalia,Rubiaceae
Chassalia lushaiensis,Chassalia,Rubiaceae
Heinsia myrmoecia,Heinsia,Rubiaceae
Argostemma lanceolarium,Argostemma,Rubiaceae
Gentiana pedicellata,Gentiana,Gentianaceae
Eumachia damasiana,Eumachia,Rubiaceae
Machaonia erythrocarpa,Machaonia,Rubiaceae
Ridsdalea pseudoternifolia,Ridsdalea,Rubiaceae
Faramea umbellifera,Faramea,Rubiaceae
Funastrum pannosum,Funastrum,Apocynaceae
Coffea brassii,Coffea,Rubiaceae
Anisotoma natalensis,Anisotoma,Apocynaceae
Lisianthius brevidentatus,Lisianthius,Gentianaceae
Odontadenia lutea,Odontadenia,Apocynaceae
Tocoyena bullata,Tocoyena,Rubiaceae
Malouetia flavescens,Malouetia,Apocynaceae
Maguireothamnus tatei,Maguireothamnus,Rubiaceae
Ruehssia bergii,Ruehssia,Apocynaceae
Ruehssia dictyophylla,Ruehssia,Apocynaceae
Multidentia sclerocarpa,Multidentia,Rubiaceae
Rytigynia leonensis,Rytigynia,Rubiaceae
Ruehssia phallica,Ruehssia,Apocynaceae
Eumachia boliviana,Eumachia,Rubiaceae
Tocoyena cubensis,Tocoyena,Rubiaceae
Voyria pulcherrima,Voyria,Gentianaceae
Tarenna canarica,Tarenna,Rubiaceae
Ditassa obscura,Ditassa,Apocynaceae
Oligocodon cunliffeae,Oligocodon,Rubiaceae
Oxypetalum glaziovii,Oxypetalum,Apocynaceae
Breonia sphaerantha,Breonia,Rubiaceae
Hoodia mossamedensis,Hoodia,Apocynaceae
Hoodia officinalis,Hoodia,Apocynaceae
Sherbournia amaraliocarpa,Sherbournia,Rubiaceae
Urophyllum clemensiorum,Urophyllum,Rubiaceae
Coptosperma peteri,Coptosperma,Rubiaceae
Riparoampelos amazonicus,Riparoampelos,Apocynaceae
Sherbournia hapalophylla,Sherbournia,Rubiaceae
Coptosperma rhodesiacum,Coptosperma,Rubiaceae
Rauvolfia serpentina,Rauvolfia,Apocynaceae
Topea patens,Topea,Apocynaceae
Lygisma calcicola,Lygisma,Apocynaceae
Notopleura tonduzii,Notopleura,Rubiaceae
Polysphaeria maxima,Polysphaeria,Rubiaceae
Notopleura saulensis,Notopleura,Rubiaceae
Notopleura polyphlebia,Notopleura,Rubiaceae
Mandevilla moritziana,Mandevilla,Apocynaceae
Monsanima morrenioides,Monsanima,Apocynaceae
Atrostemma manarae,Atrostemma,Apocynaceae
Cyclophyllum urophyllum,Cyclophyllum,Rubiaceae
Atractocarpus hirtus,Atractocarpus,Rubiaceae
Mandevilla fragrans,Mandevilla,Apocynaceae
Mandevilla macrosiphon,Mandevilla,Apocynaceae
Mandevilla villosa,Mandevilla,Apocynaceae
Pachypodium sofiense,Pachypodium,Apocynaceae
Catunaregam obovata,Catunaregam,Rubiaceae
Cynanchum cubense,Cynanchum,Apocynaceae
Cynanchum radians,Cynanchum,Apocynaceae
Cynanchum luteifluens,Cynanchum,Apocynaceae
Rondeletia stipularis,Rondeletia,Rubiaceae
Ceropegia letestui,Ceropegia,Apocynaceae
Ceropegia banforae,Ceropegia,Apocynaceae
Ceropegia schultzei,Ceropegia,Apocynaceae
Swertia schimperi,Swertia,Gentianaceae
Ceropegia neocompta,Ceropegia,Apocynaceae
Swertia sarmentosa,Swertia,Gentianaceae
Neanotis tubulosa,Neanotis,Rubiaceae
Psychotria urbaniana,Psychotria,Rubiaceae
Psychotria abrahamii,Psychotria,Rubiaceae
Galium cometerhizon,Galium,Rubiaceae
Psychotria montisstellaris,Psychotria,Rubiaceae
Galium bungei,Galium,Rubiaceae
Psychotria maroensis,Psychotria,Rubiaceae
Psychotria isalensis,Psychotria,Rubiaceae
Psychotria lantzii,Psychotria,Rubiaceae
Psychotria intrudens,Psychotria,Rubiaceae
Psychotria suarezensis,Psychotria,Rubiaceae
Galium diphyllum,Galium,Rubiaceae
Psychotria berizokae,Psychotria,Rubiaceae
Exochaenium alatum,Exochaenium,Gentianaceae
Psychotria hootmawaapensis,Psychotria,Rubiaceae
Psychotria pseudaxillaris,Psychotria,Rubiaceae
Empogona aulacosperma,Empogona,Rubiaceae
Minaria grazielae,Minaria,Apocynaceae
Kohautia azurea,Kohautia,Rubiaceae
Minaria cordata,Minaria,Apocynaceae
Ferdinandusa rudgeoides,Ferdinandusa,Rubiaceae
Gaertnera furcellata,Gaertnera,Rubiaceae
Quaqua mammillaris,Quaqua,Apocynaceae
Empogona ovalifolia,Empogona,Rubiaceae
Tromlyca locellata,Tromlyca,Rubiaceae
Landolphia buchananii,Landolphia,Apocynaceae
Enicostema axillare,Enicostema,Gentianaceae
Cynanchica littoralis,Cynanchica,Rubiaceae
Richtersveldia columnaris,Richtersveldia,Apocynaceae
Hoya insularis,Hoya,Apocynaceae
Chelonanthus longistylus,Chelonanthus,Gentianaceae
Hedyotis eualata,Hedyotis,Rubiaceae
Crusea hispida,Crusea,Rubiaceae
Hoya latifolia,Hoya,Apocynaceae
Landolphia nitidula,Landolphia,Apocynaceae
Flagenium triflorum,Flagenium,Rubiaceae
Hypobathrum hirtum,Hypobathrum,Rubiaceae
Cynanchica nitida,Cynanchica,Rubiaceae
Lacmellea utilis,Lacmellea,Apocynaceae
Lacmellea foxii,Lacmellea,Apocynaceae
Mussaenda sandakana,Mussaenda,Rubiaceae
Brargentina bornmuelleri,Brargentina,Apocynaceae
Lacmellea peruviana,Lacmellea,Apocynaceae
Scleromitrion leptocaule,Scleromitrion,Rubiaceae
Faramea subsessilis,Faramea,Rubiaceae
Guettardella talaudensis,Guettardella,Rubiaceae
Pattalias palustris,Pattalias,Apocynaceae
Aspidosperma myristicifolium,Aspidosperma,Apocynaceae
Nauclea robinsonii,Nauclea,Rubiaceae
Guettardella microphylla,Guettardella,Rubiaceae
Stipecoma peltigera,Stipecoma,Apocynaceae
Secamone lankawiensis,Secamone,Apocynaceae
Ibatia warscewiczii,Ibatia,Apocynaceae
Vangueria latifolia,Vangueria,Rubiaceae
Palicourea chiapensis,Palicourea,Rubiaceae
Suberanthus × angustatus,Suberanthus,Rubiaceae
Palicourea steyermarkii,Palicourea,Rubiaceae
Palicourea manausensis,Palicourea,Rubiaceae
Ronabea emetica,Ronabea,Rubiaceae
Secamone lagenifera,Secamone,Apocynaceae
Secamone emetica,Secamone,Apocynaceae
Palicourea quadrifolia,Palicourea,Rubiaceae
Palicourea thornei,Palicourea,Rubiaceae
Secamone volubilis,Secamone,Apocynaceae
Palicourea remyana,Palicourea,Rubiaceae
Palicourea virgata,Palicourea,Rubiaceae
Palicourea woronovii,Palicourea,Rubiaceae
Palicourea viridibractea,Palicourea,Rubiaceae
Lachnostoma magdalenicum,Lachnostoma,Apocynaceae
Willughbeia sarawacensis,Willughbeia,Apocynaceae
Palicourea fuchsioides,Palicourea,Rubiaceae
Palicourea aeneofusca,Palicourea,Rubiaceae
Cordiera humilis,Cordiera,Rubiaceae
Diplolepis geminiflora,Diplolepis,Apocynaceae
Kanapia wenzelii,Kanapia,Rubiaceae
Hunteria hexaloba,Hunteria,Apocynaceae
Matelea reticulata,Matelea,Apocynaceae
Matelea patalensis,Matelea,Apocynaceae
Matelea floridana,Matelea,Apocynaceae
Matelea monticola,Matelea,Apocynaceae
Dictyanthus asper,Dictyanthus,Apocynaceae
Matelea chihuahuensis,Matelea,Apocynaceae
Pauridiantha sylvicola,Pauridiantha,Rubiaceae
Matelea calcicola,Matelea,Apocynaceae
Stephanotis faulknerae,Stephanotis,Apocynaceae
Canthium merrillianum,Canthium,Rubiaceae
Hoffmannia caripensis,Hoffmannia,Rubiaceae
Spermacoce brachysepala,Spermacoce,Rubiaceae
Spermacoce evenia,Spermacoce,Rubiaceae
Spermacoce ivorensis,Spermacoce,Rubiaceae
Spermacoce savannarum,Spermacoce,Rubiaceae
Leichhardtia pumila,Leichhardtia,Apocynaceae
Spermacoce brassii,Spermacoce,Rubiaceae
Triainolepis arcuata,Triainolepis,Rubiaceae
Gomphocarpus praticola,Gomphocarpus,Apocynaceae
Mexotis terrellii,Mexotis,Rubiaceae
Leichhardtia variabilis,Leichhardtia,Apocynaceae
Spermacoce huillensis,Spermacoce,Rubiaceae
Spermacoce sphaerostigma,Spermacoce,Rubiaceae
Spermacoce bahiana,Spermacoce,Rubiaceae
Macropharynx steyermarkii,Macropharynx,Apocynaceae
Aspidoglossum erubescens,Aspidoglossum,Apocynaceae
Skytanthus martianus,Skytanthus,Apocynaceae
Nostolachma triflorum,Nostolachma,Rubiaceae
Pachycarpus eximius,Pachycarpus,Apocynaceae
Rennellia morindiformis,Rennellia,Rubiaceae
Gynochthodes badia,Gynochthodes,Rubiaceae
Gynochthodes umbellata,Gynochthodes,Rubiaceae
Timonius timon,Timonius,Rubiaceae
Gynochthodes ridleyi,Gynochthodes,Rubiaceae
Psydrax kingii,Psydrax,Rubiaceae
Timonius ternifolius,Timonius,Rubiaceae
Galianthe longifolia,Galianthe,Rubiaceae
Streptoechites chinensis,Streptoechites,Apocynaceae
Ancylobothrys tayloris,Ancylobothrys,Apocynaceae
Dischidia truncata,Dischidia,Apocynaceae
Gynochthodes lacunosa,Gynochthodes,Rubiaceae
Wrightia saligna,Wrightia,Apocynaceae
Adina malaccensis,Adina,Rubiaceae
Scyphostelma beckii,Scyphostelma,Apocynaceae
Orianthera nuda,Orianthera,Loganiaceae
Prestonia dusenii,Prestonia,Apocynaceae
Lasianthus hirsutus,Lasianthus,Rubiaceae
Lasianthus chrysoneurus,Lasianthus,Rubiaceae
Anemotrochus eggersii,Anemotrochus,Apocynaceae
× Galiasperula ferdinandi-coburgii,× Galiasperula,Rubiaceae
Acokanthera oppositifolia,Acokanthera,Apocynaceae
Keetia multiflora,Keetia,Rubiaceae
Echites asperoglottis,Echites,Apocynaceae
Philibertia speciosa,Philibertia,Apocynaceae
Pentas herbacea,Pentas,Rubiaceae
Philibertia fontellae,Philibertia,Apocynaceae
Araujia odorata,Araujia,Apocynaceae
Tapanhuacanga goiasensis,Tapanhuacanga,Rubiaceae
Erithalis vacciniifolia,Erithalis,Rubiaceae
Rudgea vallis,Rudgea,Rubiaceae
Alibertia edulis,Alibertia,Rubiaceae
Hintonia latiflora,Hintonia,Rubiaceae
Carapichea klugii,Carapichea,Rubiaceae
Tylodontia urceolata,Tylodontia,Apocynaceae
Mitragyna parvifolia,Mitragyna,Rubiaceae
Prismatomeris glabra,Prismatomeris,Rubiaceae
Arcytophyllum ericoides,Arcytophyllum,Rubiaceae
Airosperma trichotomum,Airosperma,Rubiaceae
Gentianella alborosea,Gentianella,Gentianaceae
Gentianella jamesonii,Gentianella,Gentianaceae
Stenostomum acreanum,Stenostomum,Rubiaceae
Gentianella gibbsii,Gentianella,Gentianaceae
Gentianella pavonii,Gentianella,Gentianaceae
Gentianella porphyrantha,Gentianella,Gentianaceae
Gentianella luridoviolacea,Gentianella,Gentianaceae
Caralluma arachnoidea,Caralluma,Apocynaceae
Gentianella calanchoides,Gentianella,Gentianaceae
Thliphthisa baldaccii,Thliphthisa,Rubiaceae
Gentianella cerastioides,Gentianella,Gentianaceae
Vincetoxicum anomalum,Vincetoxicum,Apocynaceae
Zeltnera pusilla,Zeltnera,Gentianaceae
Gonzalagunia thyrsoidea,Gonzalagunia,Rubiaceae
Glossostelma ceciliae,Glossostelma,Apocynaceae
Orbea variegata,Orbea,Apocynaceae
Otiophora caerulea,Otiophora,Rubiaceae
Myrmeconauclea strigosa,Myrmeconauclea,Rubiaceae
Tricalysia yangambiensis,Tricalysia,Rubiaceae
Vincetoxicum anthopotamicum,Vincetoxicum,Apocynaceae
Vincetoxicum hui,Vincetoxicum,Apocynaceae
Virectaria salicoides,Virectaria,Rubiaceae
Pyrostria subsessilifolia,Pyrostria,Rubiaceae
Ophiorrhiza lii,Ophiorrhiza,Rubiaceae
Ophiorrhiza microphylla,Ophiorrhiza,Rubiaceae
Pyrostria angustifolia,Pyrostria,Rubiaceae
Sabicea tersifolia,Sabicea,Rubiaceae
Pyrostria capuronii,Pyrostria,Rubiaceae
Chassalia hiernii,Chassalia,Rubiaceae
Praravinia loheri,Praravinia,Rubiaceae
Arachnothryx bourgaei,Arachnothryx,Rubiaceae
Exacum emirnense,Exacum,Gentianaceae
Gentiana argentea,Gentiana,Gentianaceae
Chassalia singapurensis,Chassalia,Rubiaceae
Arachnothryx bertieroides,Arachnothryx,Rubiaceae
Eumachia carnea,Eumachia,Rubiaceae
Faramea porophylla,Faramea,Rubiaceae
Calycophyllum obovatum,Calycophyllum,Rubiaceae
Pentanisia angustifolia,Pentanisia,Rubiaceae
Parsonsia plaesiophylla,Parsonsia,Apocynaceae
Scleromitrion diffusum,Scleromitrion,Rubiaceae
Funastrum angustissimum,Funastrum,Apocynaceae
Eumachia gossweileri,Eumachia,Rubiaceae
Tweedia echegarayi,Tweedia,Apocynaceae
Chthamalia decumbens,Chthamalia,Apocynaceae
Lisianthius perkinsiae,Lisianthius,Gentianaceae
Ruehssia linearis,Ruehssia,Apocynaceae
Rytigynia glabrifolia,Rytigynia,Rubiaceae
Ruehssia parvifolia,Ruehssia,Apocynaceae
Ruehssia tressensiae,Ruehssia,Apocynaceae
Dyera costulata,Dyera,Apocynaceae
Rytigynia bomiliensis,Rytigynia,Rubiaceae
Tarenna microcarpa,Tarenna,Rubiaceae
Oxypetalum regnellii,Oxypetalum,Apocynaceae
Schizocalyx peruvianus,Schizocalyx,Rubiaceae
Marsdenia yunnanensis,Marsdenia,Apocynaceae
Rubia tatarica,Rubia,Rubiaceae
Tarenna subsessilis,Tarenna,Rubiaceae
Ditassa succedanea,Ditassa,Apocynaceae
Oxypetalum insigne,Oxypetalum,Apocynaceae
Ditassa cipoensis,Ditassa,Apocynaceae
Tarenna ebracteata,Tarenna,Rubiaceae
Asclepias cucullata,Asclepias,Apocynaceae
Blepharodon mucronatum,Blepharodon,Apocynaceae
Asclepias peltigera,Asclepias,Apocynaceae
Schradera involucrata,Schradera,Rubiaceae
Urophyllum opacum,Urophyllum,Rubiaceae
Leptostigma setulosum,Leptostigma,Rubiaceae
Coptosperma neurophyllum,Coptosperma,Rubiaceae
Coptosperma sessiliflorum,Coptosperma,Rubiaceae
Orthosia ellemanniae,Orthosia,Apocynaceae
Orthosia misera,Orthosia,Apocynaceae
Orthosia parviflora,Orthosia,Apocynaceae
Boucerosia crenulata,Boucerosia,Apocynaceae
Notopleura merumensis,Notopleura,Rubiaceae
Geophila gracilis,Geophila,Rubiaceae
Notopleura camponutans,Notopleura,Rubiaceae
Amphidasya longicalycina,Amphidasya,Rubiaceae
Atractocarpus deplanchei,Atractocarpus,Rubiaceae
Mandevilla martii,Mandevilla,Apocynaceae
Mandevilla javitensis,Mandevilla,Apocynaceae
Mandevilla velame,Mandevilla,Apocynaceae
Mandevilla funiformis,Mandevilla,Apocynaceae
Mandevilla mexicana,Mandevilla,Apocynaceae
Cynanchum thesioides,Cynanchum,Apocynaceae
Afrocanthium peteri,Afrocanthium,Rubiaceae
Cynanchum polyanthum,Cynanchum,Apocynaceae
Peponidium anoveanum,Peponidium,Rubiaceae
Peponidium orientale,Peponidium,Rubiaceae
Afrocanthium siebenlistii,Afrocanthium,Rubiaceae
Ceropegia angustata,Ceropegia,Apocynaceae
Coptophyllum nicobaricum,Coptophyllum,Rubiaceae
Ceropegia attenuatula,Ceropegia,Apocynaceae
Ceropegia ngomensis,Ceropegia,Apocynaceae
Ceropegia delicata,Ceropegia,Apocynaceae
Swertia japonica,Swertia,Gentianaceae
Plocama reboudiana,Plocama,Rubiaceae
Schismatoclada citrifolia,Schismatoclada,Rubiaceae
Ceropegia malwanensis,Ceropegia,Apocynaceae
Ceropegia media,Ceropegia,Apocynaceae
Retiniphyllum speciosum,Retiniphyllum,Rubiaceae
Ceropegia megasepala,Ceropegia,Apocynaceae
Ceropegia merrilliana,Ceropegia,Apocynaceae
Ceropegia cathcartensis,Ceropegia,Apocynaceae
Ceropegia campanuliformis,Ceropegia,Apocynaceae
Ceropegia modestantha,Ceropegia,Apocynaceae
Ceropegia tabularia,Ceropegia,Apocynaceae
Galium emeryense,Galium,Rubiaceae
Exochaenium hockii,Exochaenium,Gentianaceae
Psychotria podantha,Psychotria,Rubiaceae
Psychotria micralabastra,Psychotria,Rubiaceae
Psychotria heterochroa,Psychotria,Rubiaceae
Bathysa bathysoides,Bathysa,Rubiaceae
Psychotria antsalovensis,Psychotria,Rubiaceae
Galium pierredmondii,Galium,Rubiaceae
Galium rivale,Galium,Rubiaceae
Psychotria megalocalyx,Psychotria,Rubiaceae
Psychotria oreotrephes,Psychotria,Rubiaceae
Psychotria antsirananensis,Psychotria,Rubiaceae
Psychotria salzmanniana,Psychotria,Rubiaceae
Empogona bracteata,Empogona,Rubiaceae
Bullockia impressinervia,Bullockia,Rubiaceae
Neonauclea parviflora,Neonauclea,Rubiaceae
Bullockia setiflora,Bullockia,Rubiaceae
Hemidesmus indicus,Hemidesmus,Apocynaceae
Dictyophleba stipulosa,Dictyophleba,Apocynaceae
Empogona crepiniana,Empogona,Rubiaceae
Neonauclea cyclophylla,Neonauclea,Rubiaceae
Ixora pierrei,Ixora,Rubiaceae
Alyxia caletioides,Alyxia,Apocynaceae
Ixora trilocularis,Ixora,Rubiaceae
Denscantia macrobracteata,Denscantia,Rubiaceae
Ixora borboniae,Ixora,Rubiaceae
Cynanchica beckiana,Cynanchica,Rubiaceae
Hoya ischnopus,Hoya,Apocynaceae
Landolphia rufescens,Landolphia,Apocynaceae
Neolamarckia macrophylla,Neolamarckia,Rubiaceae
Hoya alexicaca,Hoya,Apocynaceae
Cynanchica capitellata,Cynanchica,Rubiaceae
Hedyotis tetrangularis,Hedyotis,Rubiaceae
Landolphia glandulosa,Landolphia,Apocynaceae
Tabernaemontana africana,Tabernaemontana,Apocynaceae
Eumachia oleoides,Eumachia,Rubiaceae
Ochrosia balansae,Ochrosia,Apocynaceae
Orthanthera butayei,Orthanthera,Apocynaceae
Mitracarpus squarrosus,Mitracarpus,Rubiaceae
Palicourea sipapoensis,Palicourea,Rubiaceae
Palicourea apiculata,Palicourea,Rubiaceae
Secamone siamensis,Secamone,Apocynaceae
Palicourea paraensis,Palicourea,Rubiaceae
Neuburgia collina,Neuburgia,Loganiaceae
Palicourea forsteronioides,Palicourea,Rubiaceae
Palicourea grandistipula,Palicourea,Rubiaceae
Palicourea oblita,Palicourea,Rubiaceae
Ibatia laciniata,Ibatia,Apocynaceae
Palicourea hoffmannseggiana,Palicourea,Rubiaceae
Palicourea aurantiibractea,Palicourea,Rubiaceae
Palicourea jauaensis,Palicourea,Rubiaceae
Palicourea soejartoi,Palicourea,Rubiaceae
Palicourea bertieroides,Palicourea,Rubiaceae
Vangueria ferruginea,Vangueria,Rubiaceae
Palicourea tenerior,Palicourea,Rubiaceae
Palicourea goyazensis,Palicourea,Rubiaceae
Palicourea sclerophylla,Palicourea,Rubiaceae
Diplolepis boerhaviifolia,Diplolepis,Apocynaceae
Simira rubra,Simira,Rubiaceae
Cordiera obtusa,Cordiera,Rubiaceae
Simira alba,Simira,Rubiaceae
Kupeantha fosimondi,Kupeantha,Rubiaceae
Utania peninsularis,Utania,Gentianaceae
Simira standleyi,Simira,Rubiaceae
Baissea congensis,Baissea,Apocynaceae
Pauridiantha crystallina,Pauridiantha,Rubiaceae
Allomarkgrafia campanulata,Allomarkgrafia,Apocynaceae
Tamilnadia uliginosa,Tamilnadia,Rubiaceae
Catharanthus trichophyllus,Catharanthus,Apocynaceae
Spermacoce intricans,Spermacoce,Rubiaceae
Spermacoce matanzasia,Spermacoce,Rubiaceae
Hoffmannia regalis,Hoffmannia,Rubiaceae
Spermacoce fruticosa,Spermacoce,Rubiaceae
Duvalia caespitosa,Duvalia,Apocynaceae
Aspidoglossum flanaganii,Aspidoglossum,Apocynaceae
Gonolobus stenosepalus,Gonolobus,Apocynaceae
Orphium frutescens,Orphium,Gentianaceae
Gynochthodes hupehensis,Gynochthodes,Rubiaceae
Motandra paniculata,Motandra,Apocynaceae
Jaeschkea canaliculata,Jaeschkea,Gentianaceae
Ancylobothrys scandens,Ancylobothrys,Apocynaceae
Gynochthodes micrantha,Gynochthodes,Rubiaceae
Psydrax fasciculatus,Psydrax,Rubiaceae
Timonius macrophyllus,Timonius,Rubiaceae
Tassadia ovalifolia,Tassadia,Apocynaceae
Ixanthus viscosus,Ixanthus,Gentianaceae
Prestonia riedelii,Prestonia,Apocynaceae
Centaurium × aschersonianum,Centaurium,Gentianaceae
Chironia purpurascens,Chironia,Gentianaceae
Kuepferia damyonensis,Kuepferia,Gentianaceae
Damnacanthus biflorus,Damnacanthus,Rubiaceae
Geniostoma waiolani,Geniostoma,Loganiaceae
Randia tetrandra,Randia,Rubiaceae
Knoxia sumatrensis,Knoxia,Rubiaceae
Randia spinifex,Randia,Rubiaceae
Paralasianthus dichotomus,Paralasianthus,Rubiaceae
Randia genipifolia,Randia,Rubiaceae
Phaeostemma fucata,Phaeostemma,Apocynaceae
Rudgea rondeletioides,Rudgea,Rubiaceae
Tapanhuacanga cururuensis,Tapanhuacanga,Rubiaceae
Rothmannia ravae,Rothmannia,Rubiaceae
Alibertia latifolia,Alibertia,Rubiaceae
Comastoma henryi,Comastoma,Gentianaceae
Rogiera nicaraguensis,Rogiera,Rubiaceae
Rudgea palicoureoides,Rudgea,Rubiaceae
Tapanhuacanga asparagoides,Tapanhuacanga,Rubiaceae
Cordylostigma prolixipes,Cordylostigma,Rubiaceae
Gentianella cernua,Gentianella,Gentianaceae
Caralluma geniculata,Caralluma,Apocynaceae
Gentianella obtusifolia,Gentianella,Gentianaceae
Thliphthisa pusilla,Thliphthisa,Rubiaceae
Wendlandia syringoides,Wendlandia,Rubiaceae
Gentianella saxicola,Gentianella,Gentianaceae
Gentianella primuloides,Gentianella,Gentianaceae
Gentianella crispata,Gentianella,Gentianaceae
Gongreos wallichii,Gongreos,Apocynaceae
Gentianella lipskyi,Gentianella,Gentianaceae
Gentianella saxifragoides,Gentianella,Gentianaceae
Cyrtophyllum giganteum,Cyrtophyllum,Gentianaceae
Voacanga foetida,Voacanga,Apocynaceae
Vincetoxicum glaucirameum,Vincetoxicum,Apocynaceae
Stenaria nigricans,Stenaria,Rubiaceae
Vincetoxicum pictum,Vincetoxicum,Apocynaceae
Vincetoxicum linearisepalum,Vincetoxicum,Apocynaceae
Vincetoxicum heterophyllum,Vincetoxicum,Apocynaceae
Diplospora puberula,Diplospora,Rubiaceae
Zeltnera exaltata,Zeltnera,Gentianaceae
Vincetoxicum rossicum,Vincetoxicum,Apocynaceae
Voacanga gracilipes,Voacanga,Apocynaceae
Orbea baldratii,Orbea,Apocynaceae
Vincetoxicum roylei,Vincetoxicum,Apocynaceae
Orbea laikipiensis,Orbea,Apocynaceae
Saprosma foetens,Saprosma,Rubiaceae
Oldenlandia yunnanensis,Oldenlandia,Rubiaceae
Solenandra cordata,Solenandra,Rubiaceae
Solenandra triflora,Solenandra,Rubiaceae
Raphionacme angolensis,Raphionacme,Apocynaceae
Chassalia elliptica,Chassalia,Rubiaceae
Chassalia corallioides,Chassalia,Rubiaceae
Chassalia pauciflora,Chassalia,Rubiaceae
Chassalia blumeana,Chassalia,Rubiaceae
Chassalia angustifolia,Chassalia,Rubiaceae
Arachnothryx rufescens,Arachnothryx,Rubiaceae
Leptopetalum pachyphyllum,Leptopetalum,Rubiaceae
Acranthera longipetiolata,Acranthera,Rubiaceae
Chomelia ecuadorensis,Chomelia,Rubiaceae
Ruehssia edulis,Ruehssia,Apocynaceae
Rytigynia orbicularis,Rytigynia,Rubiaceae
Strophanthus amboensis,Strophanthus,Apocynaceae
Ruehssia magallanesiana,Ruehssia,Apocynaceae
Chomelia parviflora,Chomelia,Rubiaceae
Rytigynia dasyothamnus,Rytigynia,Rubiaceae
Chomelia modesta,Chomelia,Rubiaceae
Ruehssia thomasii,Ruehssia,Apocynaceae
Ruehssia nubicola,Ruehssia,Apocynaceae
Ruehssia asplundii,Ruehssia,Apocynaceae
Ruehssia smithii,Ruehssia,Apocynaceae
Apteranthes europaea,Apteranthes,Apocynaceae
Mycetia parviflora,Mycetia,Rubiaceae
Ditassa thymifolia,Ditassa,Apocynaceae
Ditassa hispida,Ditassa,Apocynaceae
Tarenna arborea,Tarenna,Rubiaceae
Tarenna mussaendoides,Tarenna,Rubiaceae
Batopedina linearifolia,Batopedina,Rubiaceae
Asclepias shabaensis,Asclepias,Apocynaceae
Asclepias alpestris,Asclepias,Apocynaceae
Metastelma schlechteri,Metastelma,Apocynaceae
Asclepias montevaga,Asclepias,Apocynaceae
Asclepias stathmostelmoides,Asclepias,Apocynaceae
Asclepias hypoleuca,Asclepias,Apocynaceae
Lehmanniella splendens,Lehmanniella,Gentianaceae
Alafia benthamii,Alafia,Apocynaceae
Orthosia angustifolia,Orthosia,Apocynaceae
Austrochthamalia purpurea,Austrochthamalia,Apocynaceae
Sherbournia bignoniiflora,Sherbournia,Rubiaceae
Urophyllum corymbosum,Urophyllum,Rubiaceae
Jasminanthes chunii,Jasminanthes,Apocynaceae
Notopleura multiramosa,Notopleura,Rubiaceae
Randia matudae,Randia,Rubiaceae
Notopleura thesceloantha,Notopleura,Rubiaceae
Geophila macrocarpa,Geophila,Rubiaceae
Geophila obvallata,Geophila,Rubiaceae
Notopleura terepaimensis,Notopleura,Rubiaceae
Notopleura fernandezii,Notopleura,Rubiaceae
Geophila tenuis,Geophila,Rubiaceae
Amphidasya colombiana,Amphidasya,Rubiaceae
Cyclophyllum rectinervium,Cyclophyllum,Rubiaceae
Mandevilla symphitocarpa,Mandevilla,Apocynaceae
Caudanthera mireillae,Caudanthera,Apocynaceae
Tridentea marientalensis,Tridentea,Apocynaceae
Chiococca motleyana,Chiococca,Rubiaceae
Mandevilla oaxacensis,Mandevilla,Apocynaceae
Lomatogonium forrestii,Lomatogonium,Gentianaceae
Staelia thymbroides,Staelia,Rubiaceae
Cynanchum caudiculatum,Cynanchum,Apocynaceae
Himatanthus articulatus,Himatanthus,Apocynaceae
Catunaregam torulosa,Catunaregam,Rubiaceae
Cynanchum alternilobum,Cynanchum,Apocynaceae
Himatanthus bracteatus,Himatanthus,Apocynaceae
Peponidium blepharodon,Peponidium,Rubiaceae
Cynanchum cyathiforme,Cynanchum,Apocynaceae
Ceropegia stenifolia,Ceropegia,Apocynaceae
Neanotis prainiana,Neanotis,Rubiaceae
Ceropegia nephroloba,Ceropegia,Apocynaceae
