genus,family
Sericanthe,Rubiaceae
Chimarrhis,Rubiaceae
Mitracarpus,Rubiaceae
Palicourea,Rubiaceae
Secamone,Apocynaceae
Willughbeia,Apocynaceae
Heterostemma,Apocynaceae
Gentianopsis,Gentianaceae
Petchia,Apocynaceae
Coussarea,Rubiaceae
Petalostelma,Apocynaceae
Pygmaeothamnus,Rubiaceae
Matelea,Apocynaceae
Pauridiantha,Rubiaceae
Dictyanthus,Apocynaceae
Stephanotis,Apocynaceae
Canthium,Rubiaceae
Leichhardtia,Apocynaceae
Spermacoce,Rubiaceae
Aidia,Rubiaceae
Aspidoglossum,Apocynaceae
Myrmephytum,Rubiaceae
Nostolachma,Rubiaceae
Stapeliopsis,Apocynaceae
Psydrax,Rubiaceae
Galianthe,Rubiaceae
Gynochthodes,Rubiaceae
Cryptolepis,Apocynaceae
Dischidia,Apocynaceae
Morinda,Rubiaceae
Morilloa,Apocynaceae
Wrightia,Apocynaceae
Lasianthus,Rubiaceae
Centaurium,Gentianaceae
Orianthera,Loganiaceae
Pavetta,Rubiaceae
Geniostoma,Loganiaceae
Tromotriche,Apocynaceae
Phyllanthera,Apocynaceae
Philibertia,Apocynaceae
Amaracarpus,Rubiaceae
Crobylanthe,Rubiaceae
Rudgea,Rubiaceae
Rothmannia,Rubiaceae
Prismatomeris,Rubiaceae
Halenia,Gentianaceae
Ladenbergia,Rubiaceae
Gentianella,Gentianaceae
Tournefortiopsis,Rubiaceae
Wendlandia,Rubiaceae
Stenotis,Rubiaceae
Thliphthisa,Rubiaceae
Arcytophyllum,Rubiaceae
Vincetoxicum,Apocynaceae
Molongum,Apocynaceae
Gonzalagunia,Rubiaceae
Orbea,Apocynaceae
Kibatalia,Apocynaceae
Saprosma,Rubiaceae
Mesechites,Apocynaceae
Ophiorrhiza,Rubiaceae
Sabicea,Rubiaceae
Roraimaea,Gentianaceae
Solenandra,Rubiaceae
Oldenlandia,Rubiaceae
Arachnothryx,Rubiaceae
Argostemma,Rubiaceae
Declieuxia,Rubiaceae
Heinsia,Rubiaceae
Sinoswertia,Gentianaceae
Mucoa,Apocynaceae
Larsenaikia,Rubiaceae
Oxyceros,Rubiaceae
Xanthophytum,Rubiaceae
Chloropetalum,Apocynaceae
Nauclea,Rubiaceae
Ronabea,Rubiaceae
Pseudolithos,Apocynaceae
Simira,Rubiaceae
Condaminea,Rubiaceae
Mycetia,Rubiaceae
Piaranthus,Apocynaceae
Hexasepalum,Rubiaceae
Ditassa,Apocynaceae
Strychnos,Loganiaceae
Metastelma,Apocynaceae
Metagentiana,Gentianaceae
Lecananthus,Rubiaceae
Coptosperma,Rubiaceae
Dolichopentas,Rubiaceae
Gardenia,Rubiaceae
Congolanthus,Gentianaceae
Stenostelma,Apocynaceae
Bertiera,Rubiaceae
Bathysa,Rubiaceae
Rogersonanthus,Gentianaceae
Caa,Apocynaceae
Neonauclea,Rubiaceae
Dictyophleba,Apocynaceae
Bartonia,Gentianaceae
Hedythyrsus,Rubiaceae
Pruskortizia,Apocynaceae
Alyxia,Apocynaceae
Neurocalyx,Rubiaceae
Neolamarckia,Rubiaceae
Landolphia,Apocynaceae
Picrophloeus,Gentianaceae
Hoya,Apocynaceae
Schizacme,Loganiaceae
Tabernaemontana,Apocynaceae
Gongronemopsis,Apocynaceae
Hymenodictyon,Rubiaceae
Oreopolus,Rubiaceae
Pentanisia,Rubiaceae
Cascabela,Apocynaceae
Faramea,Rubiaceae
Utania,Gentianaceae
Hunteria,Apocynaceae
Tripterospermum,Gentianaceae
Baissea,Apocynaceae
Periploca,Apocynaceae
Motleyothamnus,Rubiaceae
Gonolobus,Apocynaceae
Rennellia,Rubiaceae
Schmidtottia,Rubiaceae
Sabatia,Gentianaceae
Scolosanthus,Rubiaceae
Adina,Rubiaceae
Debia,Rubiaceae
Vidalasia,Rubiaceae
Prestonia,Apocynaceae
Dimetia,Rubiaceae
Guettardella,Rubiaceae
Trachelospermum,Apocynaceae
Macrocarpaea,Gentianaceae
Carterella,Rubiaceae
Vangueria,Rubiaceae
Neuburgia,Loganiaceae
Discospermum,Rubiaceae
Gyrandra,Gentianaceae
Macropharynx,Apocynaceae
Crossopteryx,Rubiaceae
Pachycarpus,Apocynaceae
Vangueriella,Rubiaceae
Timonius,Rubiaceae
Tassadia,Apocynaceae
Pseudodiplospora,Rubiaceae
Crucianella,Rubiaceae
Kuepferia,Gentianaceae
Sisyranthus,Apocynaceae
Payera,Rubiaceae
Randia,Rubiaceae
Rustia,Rubiaceae
Araujia,Apocynaceae
Parapentas,Rubiaceae
Appunia,Rubiaceae
Exallage,Rubiaceae
Calciphila,Apocynaceae
Neocouma,Apocynaceae
Elaeagia,Rubiaceae
Clarkella,Rubiaceae
Sarcolobus,Apocynaceae
Stenostomum,Rubiaceae
Cionura,Apocynaceae
Stenaria,Rubiaceae
Pyrostria,Rubiaceae
Paracephaelis,Rubiaceae
Gentiana,Gentianaceae
Chassalia,Rubiaceae
Coffea,Rubiaceae
Ridsdalea,Rubiaceae
Zygostigma,Gentianaceae
Bobea,Rubiaceae
Odontadenia,Apocynaceae
Adolphoduckea,Rubiaceae
Coutaportla,Rubiaceae
Carpacoce,Rubiaceae
Schultesia,Gentianaceae
Paracarphalea,Rubiaceae
Oxypetalum,Apocynaceae
Saldinia,Rubiaceae
Deianira,Gentianaceae
Pseudolachnostoma,Apocynaceae
Eustoma,Gentianaceae
Leptostigma,Rubiaceae
Sherbournia,Rubiaceae
Frasera,Gentianaceae
Amphidasya,Rubiaceae
Melodinus,Apocynaceae
Pittoniotis,Rubiaceae
Vallaris,Apocynaceae
Catunaregam,Rubiaceae
Telosma,Apocynaceae
Retiniphyllum,Rubiaceae
Neanotis,Rubiaceae
Kadua,Rubiaceae
Meyna,Rubiaceae
Exochaenium,Gentianaceae
Larryleachia,Apocynaceae
Gaertnera,Rubiaceae
Desmidorchis,Apocynaceae
Ferdinandusa,Rubiaceae
Ochreinauclea,Rubiaceae
Cyanoneuron,Rubiaceae
Canscora,Gentianaceae
Huernia,Apocynaceae
Tinadendron,Rubiaceae
Pseudopyxis,Rubiaceae
Amphiasma,Rubiaceae
Crusea,Rubiaceae
Edrastima,Rubiaceae
Paranotis,Rubiaceae
Symphyllophyton,Gentianaceae
Ochrosia,Apocynaceae
Ibatia,Apocynaceae
Suberanthus,Rubiaceae
Richardia,Rubiaceae
Lachnostoma,Apocynaceae
Diplolepis,Apocynaceae
Paederia,Rubiaceae
Cordiera,Rubiaceae
Martensianthus,Rubiaceae
Jobinia,Apocynaceae
Pentopetia,Apocynaceae
Augusta,Rubiaceae
Celiantha,Gentianaceae
Helia,Gentianaceae
Knoxia,Rubiaceae
Phyllopentas,Rubiaceae
Leptadenia,Apocynaceae
Alibertia,Rubiaceae
Hyperacanthus,Rubiaceae
Dolichocarpa,Rubiaceae
Sicyocarpus,Apocynaceae
Carissa,Apocynaceae
Dolianthus,Rubiaceae
Triflorensia,Rubiaceae
Diodia,Rubiaceae
Cruciata,Rubiaceae
Posoqueria,Rubiaceae
Praravinia,Rubiaceae
Sipanea,Rubiaceae
Chamaeclitandra,Apocynaceae
Chthamalia,Apocynaceae
Lisianthius,Gentianaceae
Graciemoriana,Apocynaceae
Calycosia,Rubiaceae
Agouticarpa,Rubiaceae
Coccocypselum,Rubiaceae
Kutchubaea,Rubiaceae
Peruviasclepias,Apocynaceae
Aspidonepsis,Apocynaceae
Oncinotis,Apocynaceae
Atrostemma,Apocynaceae
Mitrasacme,Loganiaceae
Fischeria,Apocynaceae
Coptophyllum,Rubiaceae
Coprosma,Rubiaceae
Brenania,Rubiaceae
Hypobathrum,Rubiaceae
Pleiocoryne,Rubiaceae
Angadenia,Apocynaceae
Mussaenda,Rubiaceae
Phylohydrax,Rubiaceae
Lacmellea,Apocynaceae
Aoranthe,Rubiaceae
Laubertia,Apocynaceae
Kailarsenia,Rubiaceae
Sphinctanthus,Rubiaceae
Stephanococcus,Rubiaceae
Catharanthus,Apocynaceae
Himalrandia,Rubiaceae
Scyphostelma,Apocynaceae
Echidnopsis,Apocynaceae
Comastoma,Gentianaceae
Carapichea,Rubiaceae
Virectaria,Rubiaceae
Antherostele,Rubiaceae
Tricalysia,Rubiaceae
Remijia,Rubiaceae
Curtia,Gentianaceae
Xysmalobium,Apocynaceae
Exacum,Gentianaceae
Greenea,Rubiaceae
Parsonsia,Apocynaceae
Calycophyllum,Rubiaceae
Hexaphylla,Rubiaceae
Neomussaenda,Rubiaceae
Tweedia,Apocynaceae
Paraknoxia,Rubiaceae
Coccochondra,Rubiaceae
Monolluma,Apocynaceae
Hymenocoleus,Rubiaceae
Cerberiopsis,Apocynaceae
Perama,Rubiaceae
Bikkia,Rubiaceae
Blackstonia,Gentianaceae
Artia,Apocynaceae
Polysphaeria,Rubiaceae
Tridentea,Apocynaceae
Rondeletia,Rubiaceae
Danais,Rubiaceae
Phialanthus,Rubiaceae
Denscantia,Rubiaceae
Schinziella,Gentianaceae
Manostachya,Rubiaceae
Hoffmannia,Rubiaceae
Buckollia,Apocynaceae
Duvalia,Apocynaceae
Exostema,Rubiaceae
Rovaeanthus,Rubiaceae
Keetia,Rubiaceae
Acokanthera,Apocynaceae
Echites,Apocynaceae
Rogiera,Rubiaceae
Villaria,Rubiaceae
Caralluma,Apocynaceae
Zeltnera,Gentianaceae
Apteranthes,Apocynaceae
Bouvardia,Rubiaceae
Adenorandia,Rubiaceae
Marsdenia,Apocynaceae
Schizocalyx,Rubiaceae
Pinochia,Apocynaceae
Beaumontia,Apocynaceae
Caudanthera,Apocynaceae
Neoschumannia,Apocynaceae
Cracosna,Gentianaceae
Fockea,Apocynaceae
Rubovietnamia,Rubiaceae
Bullockia,Rubiaceae
Toxocarpus,Apocynaceae
Aspidosperma,Apocynaceae
Cosmibuena,Rubiaceae
Kupeantha,Rubiaceae
Calotropis,Apocynaceae
Triainolepis,Rubiaceae
Achilleanthus,Rubiaceae
Hamelia,Rubiaceae
Peplonia,Apocynaceae
Funtumia,Apocynaceae
Woodia,Apocynaceae
Gymnema,Apocynaceae
Salzmannia,Rubiaceae
Hylaea,Apocynaceae
Anthocleista,Gentianaceae
Camptocarpus,Apocynaceae
Pitardella,Rubiaceae
Raphionacme,Apocynaceae
Thogsennia,Rubiaceae
Coutareopsis,Rubiaceae
Coddia,Rubiaceae
Leucolophus,Rubiaceae
Eleuthranthes,Rubiaceae
Calolisianthus,Gentianaceae
Baroniella,Apocynaceae
Warszewiczia,Rubiaceae
Maguireothamnus,Rubiaceae
Voyria,Gentianaceae
Agathisanthemum,Rubiaceae
Cubanola,Rubiaceae
Coptosapelta,Rubiaceae
Duplipetala,Gentianaceae
Euclinia,Rubiaceae
Urophyllum,Rubiaceae
Rachicallis,Rubiaceae
Chamaepentas,Rubiaceae
Rhytidostemma,Apocynaceae
Pogonopus,Rubiaceae
Ophionella,Apocynaceae
Kanahia,Apocynaceae
Pergularia,Apocynaceae
Lerchea,Rubiaceae
Cleghornia,Apocynaceae
Pentas,Rubiaceae
Tapanhuacanga,Rubiaceae
Leptomischus,Rubiaceae
Macroscepis,Apocynaceae
Voacanga,Apocynaceae
Glossostelma,Apocynaceae
Synaptantha,Rubiaceae
Portlandia,Rubiaceae
Habroneuron,Rubiaceae
Siemensia,Rubiaceae
Breonia,Rubiaceae
Batopedina,Rubiaceae
Miraglossum,Apocynaceae
Uncaria,Rubiaceae
Blepharodon,Apocynaceae
Sinogentiana,Gentianaceae
Duroia,Rubiaceae
Notechidnopsis,Apocynaceae
Crawfurdia,Gentianaceae
Hillia,Rubiaceae
Limnosipanea,Rubiaceae
Belonophora,Rubiaceae
Adelphacme,Loganiaceae
Gongronema,Apocynaceae
Glossostipula,Rubiaceae
Brachytome,Rubiaceae
Schlechterella,Apocynaceae
Kopsia,Apocynaceae
Joosia,Rubiaceae
Ludekia,Rubiaceae
Polystemma,Apocynaceae
Macoubea,Apocynaceae
Peripeplus,Rubiaceae
Argocoffeopsis,Rubiaceae
Pentatropis,Apocynaceae
Phyllangium,Loganiaceae
Thiollierea,Rubiaceae
Oxyanthus,Rubiaceae
Anisotoma,Apocynaceae
Tocoyena,Rubiaceae
Multidentia,Rubiaceae
Oligocodon,Rubiaceae
Riparoampelos,Apocynaceae
Topea,Apocynaceae
Lygisma,Apocynaceae
Monsanima,Apocynaceae
Pachypodium,Apocynaceae
Kohautia,Rubiaceae
Tromlyca,Rubiaceae
Enicostema,Gentianaceae
Richtersveldia,Apocynaceae
Chelonanthus,Gentianaceae
Flagenium,Rubiaceae
Brargentina,Apocynaceae
Pattalias,Apocynaceae
Stipecoma,Apocynaceae
Kanapia,Rubiaceae
Gomphocarpus,Apocynaceae
Mexotis,Rubiaceae
Skytanthus,Apocynaceae
Streptoechites,Apocynaceae
Ancylobothrys,Apocynaceae
Anemotrochus,Apocynaceae
Erithalis,Rubiaceae
Hintonia,Rubiaceae
Tylodontia,Apocynaceae
Mitragyna,Rubiaceae
Airosperma,Rubiaceae
Otiophora,Rubiaceae
Myrmeconauclea,Rubiaceae
Dyera,Apocynaceae
Geophila,Rubiaceae
Schismatoclada,Rubiaceae
Hemidesmus,Apocynaceae
Orthanthera,Apocynaceae
Allomarkgrafia,Apocynaceae
Tamilnadia,Rubiaceae
Orphium,Gentianaceae
Motandra,Apocynaceae
Jaeschkea,Gentianaceae
Ixanthus,Gentianaceae
Chironia,Gentianaceae
Damnacanthus,Rubiaceae
Paralasianthus,Rubiaceae
Phaeostemma,Apocynaceae
Cordylostigma,Rubiaceae
Gongreos,Apocynaceae
Cyrtophyllum,Gentianaceae
Diplospora,Rubiaceae
Acranthera,Rubiaceae
Lehmanniella,Gentianaceae
Austrochthamalia,Apocynaceae
Chiococca,Rubiaceae
Staelia,Rubiaceae
Spongiosperma,Apocynaceae
Cicendia,Gentianaceae
Isidorea,Rubiaceae
Mitreola,Loganiaceae
Helictosperma,Rubiaceae
Faroa,Gentianaceae
Roigella,Rubiaceae
Porterandia,Rubiaceae
Capirona,Rubiaceae
Callipeltis,Rubiaceae
Kamettia,Apocynaceae
Chione,Rubiaceae
Mastixiodendron,Rubiaceae
Australluma,Apocynaceae
Ichnocarpus,Apocynaceae
Tarennoidea,Rubiaceae
Cristobalia,Apocynaceae
Thyrsanthella,Apocynaceae
Coelospermum,Rubiaceae
Cephalanthus,Rubiaceae
Chonemorpha,Apocynaceae
Macrocnemum,Rubiaceae
Asketanthera,Apocynaceae
Mondia,Apocynaceae
Dischidanthus,Apocynaceae
Deccania,Rubiaceae
Steenisia,Rubiaceae
Squamellaria,Rubiaceae
Planaltina,Rubiaceae
Massularia,Rubiaceae
Logania,Loganiaceae
Anthospermopsis,Rubiaceae
Microloma,Apocynaceae
Colletoecema,Rubiaceae
Neurotheca,Gentianaceae
Craterispermum,Rubiaceae
Calyptranthera,Apocynaceae
Stathmostelma,Apocynaceae
Hyptianthera,Rubiaceae
Anodendron,Apocynaceae
Papuechites,Apocynaceae
Dibridsonia,Rubiaceae
Pentalinon,Apocynaceae
Voyriella,Gentianaceae
Aleisanthia,Rubiaceae
Nematostylis,Rubiaceae
Tessiera,Rubiaceae
Razafimandimbisonia,Rubiaceae
Dirichletia,Rubiaceae
Aulacocalyx,Rubiaceae
Pacouria,Apocynaceae
Dioecrescis,Rubiaceae
Pteralyxia,Apocynaceae
Sebaea,Gentianaceae
Aphanocarpus,Rubiaceae
Oncinema,Apocynaceae
Microplumeria,Apocynaceae
Rhodopentas,Rubiaceae
Ganguelia,Rubiaceae
Lagenias,Gentianaceae
Casasia,Rubiaceae
Foonchewia,Rubiaceae
Adenium,Apocynaceae
Involucrella,Rubiaceae
Chilocarpus,Apocynaceae
Adenolisianthus,Gentianaceae
Chaetostachydium,Rubiaceae
Diyaminauclea,Rubiaceae
Pomax,Rubiaceae
Gelsemium,Gelsemiaceae
Crioceras,Apocynaceae
Pleiocarpa,Apocynaceae
Talayotea,Apocynaceae
Alstonia,Apocynaceae
Orthopichonia,Apocynaceae
Saba,Apocynaceae
Lagenanthus,Gentianaceae
Mouretia,Rubiaceae
Genianthus,Apocynaceae
Anthospermum,Rubiaceae
Ramonadoxa,Rubiaceae
Stapelianthus,Apocynaceae
Calycosiphonia,Rubiaceae
Parahancornia,Apocynaceae
Epigynum,Apocynaceae
Holarrhena,Apocynaceae
Geissospermum,Apocynaceae
Pseudogalium,Rubiaceae
Burchellia,Rubiaceae
Donnellyanthus,Rubiaceae
Wandersong,Rubiaceae
Cuviera,Rubiaceae
Fagraea,Gentianaceae
Pentacyphus,Apocynaceae
Aganosma,Apocynaceae
Pseudomussaenda,Rubiaceae
Lemyrea,Rubiaceae
Amsonia,Apocynaceae
Oreosparte,Apocynaceae
Rhabdadenia,Apocynaceae
Sacosperma,Rubiaceae
Pentanopsis,Rubiaceae
Veratrilla,Gentianaceae
Exaculum,Gentianaceae
Temnadenia,Apocynaceae
Alleizettella,Rubiaceae
Stigmatorhynchus,Apocynaceae
Nertera,Rubiaceae
Fadogia,Rubiaceae
Fosbergia,Rubiaceae
White-sloanea,Apocynaceae
Cerbera,Apocynaceae
Strempeliopsis,Apocynaceae
Badusa,Rubiaceae
Mazaea,Rubiaceae
Pectinaria,Apocynaceae
Phyllocyclus,Gentianaceae
Schumanniophyton,Rubiaceae
Cinchona,Rubiaceae
Suberogerens,Apocynaceae
Otomeria,Rubiaceae
Neobracea,Apocynaceae
Eustegia,Apocynaceae
Petitiocodon,Rubiaceae
Cladoceras,Rubiaceae
Amphineurion,Apocynaceae
Conostomium,Rubiaceae
Galopina,Rubiaceae
Morindopsis,Rubiaceae
Myriopteron,Apocynaceae
Streptocaulon,Apocynaceae
Callichilia,Apocynaceae
Pachystylus,Rubiaceae
Mostuea,Gelsemiaceae
Klackenbergia,Gentianaceae
Carruthersia,Apocynaceae
Pherotrichis,Apocynaceae
Dentella,Rubiaceae
Syringantha,Rubiaceae
Solenostemma,Apocynaceae
Puffia,Rubiaceae
Oldenlandiopsis,Rubiaceae
Janotia,Rubiaceae
Cosmostigma,Apocynaceae
Sinomarsdenia,Apocynaceae
Couma,Apocynaceae
Vallesia,Apocynaceae
Malanea,Rubiaceae
Streblosa,Rubiaceae
Fadogiella,Rubiaceae
Tobagoa,Rubiaceae
Schizocolea,Rubiaceae
Stomatostemma,Apocynaceae
Chorisepalum,Gentianaceae
Pottsia,Apocynaceae
Hindsia,Rubiaceae
Papuahoya,Apocynaceae
Deppea,Rubiaceae
Sipaneopsis,Rubiaceae
Pseudomiltemia,Rubiaceae
Bungarimba,Rubiaceae
Nenax,Rubiaceae
Pseudaidia,Rubiaceae
Picralima,Apocynaceae
Galiniera,Rubiaceae
Corynanthe,Rubiaceae
Purdieanthus,Gentianaceae
Atractogyne,Rubiaceae
Tainus,Rubiaceae
Standleya,Rubiaceae
Polyura,Rubiaceae
Gymnanthera,Apocynaceae
Ramosmania,Rubiaceae
Emmeorhiza,Rubiaceae
Barjonia,Apocynaceae
Globulostylis,Rubiaceae
Bisgoeppertia,Gentianaceae
Pteleocarpa,Gelsemiaceae
Sommera,Rubiaceae
Condylocarpon,Apocynaceae
Riocreuxia,Apocynaceae
Nichallea,Rubiaceae
Dibrachionostylus,Rubiaceae
Amaioua,Rubiaceae
Perakanthus,Rubiaceae
Cinchonopsis,Rubiaceae
Elytropus,Apocynaceae
Phuopsis,Rubiaceae
Oxystelma,Apocynaceae
Anechites,Apocynaceae
Hemipogon,Apocynaceae
Vangueriopsis,Rubiaceae
Didymopogon,Rubiaceae
Nesohedyotis,Rubiaceae
Schizomussaenda,Rubiaceae
Bridsonia,Rubiaceae
Aidiopsis,Rubiaceae
Gyrostipula,Rubiaceae
Kochummenia,Rubiaceae
Singaporandia,Rubiaceae
Tacazzea,Apocynaceae
Seychellea,Rubiaceae
Calochone,Rubiaceae
Tennantia,Rubiaceae
Ditrichanthus,Rubiaceae
Byrsophyllum,Rubiaceae
Djaloniella,Gentianaceae
Heterophyllaea,Rubiaceae
Didymaea,Rubiaceae
Pagameopsis,Rubiaceae
Osa,Rubiaceae
Parainvolucrella,Rubiaceae
Melanoxerus,Rubiaceae
Everistia,Rubiaceae
Tabernanthe,Apocynaceae
Jackiopsis,Rubiaceae
Neohymenopogon,Rubiaceae
Rojasia,Apocynaceae
Schizostephanus,Apocynaceae
Maschalodesme,Rubiaceae
Coryphothamnus,Rubiaceae
Limahlania,Gentianaceae
Secondatia,Apocynaceae
Rhytidocaulon,Apocynaceae
Pervillaea,Apocynaceae
Pentodon,Rubiaceae
Canthiumera,Rubiaceae
Ceratopyxis,Rubiaceae
Rotundanthus,Apocynaceae
Orinoquia,Apocynaceae
Pagamea,Rubiaceae
Nodocarpaea,Rubiaceae
Haplophyton,Apocynaceae
Coutarea,Rubiaceae
Pleioceras,Apocynaceae
Picardaea,Rubiaceae
Luculia,Rubiaceae
Ballyanthus,Apocynaceae
Wittmackanthus,Rubiaceae
Galactophora,Apocynaceae
Astephanus,Apocynaceae
Preussiodora,Rubiaceae
Vulcanoa,Apocynaceae
Glionnetia,Rubiaceae
Macrosphyra,Rubiaceae
Cremaspora,Rubiaceae
Laxoplumeria,Apocynaceae
Khasiaclunea,Rubiaceae
Spirolobium,Apocynaceae
Leuconotis,Apocynaceae
Obolaria,Gentianaceae
Riqueuria,Rubiaceae
Stephanostegia,Apocynaceae
Microrphium,Gentianaceae
Plumeria,Apocynaceae
Diadorimia,Rubiaceae
Senaea,Gentianaceae
Guihaiothamnus,Rubiaceae
Pentaloncha,Rubiaceae
Hekistocarpa,Rubiaceae
Gomphocalyx,Rubiaceae
Tapeinostemon,Gentianaceae
Catesbaea,Rubiaceae
Coutoubea,Gentianaceae
Dolichodelphys,Rubiaceae
Allamanda,Apocynaceae
Antonia,Loganiaceae
Thevetia,Apocynaceae
Acunaeanthus,Rubiaceae
Vahadenia,Apocynaceae
Nephradenia,Apocynaceae
Dioicodendron,Rubiaceae
Nernstia,Rubiaceae
Ciliosemina,Rubiaceae
Buchozia,Rubiaceae
Micrasepalum,Rubiaceae
Diplorhynchus,Apocynaceae
Ottoschmidtia,Rubiaceae
Duidania,Rubiaceae
Robbrechtia,Rubiaceae
Neblinathamnus,Rubiaceae
Robynsia,Rubiaceae
Tarennella,Rubiaceae
Cameraria,Apocynaceae
Neoblakea,Rubiaceae
Emplectanthus,Apocynaceae
Carphalea,Rubiaceae
Carvalhoa,Apocynaceae
Sindechites,Apocynaceae
Lepidostoma,Rubiaceae
Karina,Gentianaceae
Isonema,Apocynaceae
Homollea,Rubiaceae
Parachimarrhis,Rubiaceae
Lavrania,Apocynaceae
Cycladenia,Apocynaceae
Tachiadenus,Gentianaceae
Clitandra,Apocynaceae
Pinckneya,Rubiaceae
Phyllis,Rubiaceae
Bousigonia,Apocynaceae
Hockinia,Gentianaceae
Hedstromia,Rubiaceae
Nargedia,Rubiaceae
Stichianthus,Rubiaceae
Shaferocharis,Rubiaceae
Durringtonia,Rubiaceae
Prepusa,Gentianaceae
Stenosepala,Rubiaceae
Tangshuia,Rubiaceae
Schizozygia,Apocynaceae
Rhyssolobium,Apocynaceae
Diacrodon,Rubiaceae
Hancornia,Apocynaceae
Apocynum,Apocynaceae
Phialiphora,Rubiaceae
Cylindropsis,Apocynaceae
Blepharidium,Rubiaceae
Leucocodon,Rubiaceae
Norrisia,Loganiaceae
Eosanthe,Rubiaceae
Ernodea,Rubiaceae
Zuccarinia,Rubiaceae
Manothrix,Apocynaceae
Emmenopterys,Rubiaceae
Gymnemopsis,Apocynaceae
Strumpfia,Rubiaceae
Baynesia,Apocynaceae
Craspidospermum,Apocynaceae
Stelmagonum,Apocynaceae
Kraussia,Rubiaceae
Emicocarpus,Apocynaceae
Lathraeocarpa,Rubiaceae
Pentasacme,Apocynaceae
Aitchisonia,Rubiaceae
Lomatogoniopsis,Gentianaceae
Steyermarkia,Rubiaceae
Etericius,Rubiaceae
Pseudohamelia,Rubiaceae
Mantalania,Rubiaceae
Dialypetalanthus,Rubiaceae
Hutchinsonia,Rubiaceae
Socotrella,Apocynaceae
Fergusonia,Rubiaceae
Xestaea,Gentianaceae
Duperrea,Rubiaceae
Rhadinopus,Rubiaceae
Bradea,Rubiaceae
Baseonema,Apocynaceae
Chalepophyllum,Rubiaceae
Heinsenia,Rubiaceae
Lepiniopsis,Apocynaceae
Acrobotrys,Rubiaceae
Goniostemma,Apocynaceae
Normandia,Rubiaceae
Tammsia,Rubiaceae
Cowiea,Rubiaceae
Amalocalyx,Apocynaceae
Stevensia,Rubiaceae
Astiella,Rubiaceae
Mitchella,Rubiaceae
Stipularia,Rubiaceae
Dalzielia,Apocynaceae
Leptoscela,Rubiaceae
Phyllomelia,Rubiaceae
Omiltemia,Rubiaceae
Feretia,Rubiaceae
Boholia,Rubiaceae
Raritebe,Rubiaceae
Oreonesion,Gentianaceae
Holstianthus,Rubiaceae
Henriquezia,Rubiaceae
Alseis,Rubiaceae
Schwendenera,Rubiaceae
Greeniopsis,Rubiaceae
Cibirhiza,Apocynaceae
Siphonandrium,Rubiaceae
Thenardia,Apocynaceae
Pimentelia,Rubiaceae
Saccifolium,Gentianaceae
Lintersemina,Rubiaceae
Cyclocotyla,Apocynaceae
Leptodermis,Rubiaceae
Acrosynanthus,Rubiaceae
Pteridocalyx,Rubiaceae
Kerbera,Apocynaceae
Lepinia,Apocynaceae
Kelloggia,Rubiaceae
Coelopyrena,Rubiaceae
Conomitra,Apocynaceae
Botryarrhena,Rubiaceae
Morelia,Rubiaceae
Platycarpum,Rubiaceae
Mericarpaea,Rubiaceae
Rhaphidura,Rubiaceae
Ischnolepis,Apocynaceae
Breonadia,Rubiaceae
Theligonum,Rubiaceae
